experiment,setup_id,symbol,side,create_time,entry_time,exit_time,entry_idx,sl_atr_mult,ml_confidence,pnl_r,pnl_usd,holding_bars,session_bucket,structure_event,structure_scale,ob_state,bars_since_fvg_creation,bars_since_mitigation,mitigation_depth_pct,mitigation_touch_count,distance_prev_day_high,distance_prev_day_low,distance_eqh,distance_eql,ob_overlap_with_fvg,hour_sin,hour_cos,ob_state_code,session_bucket_code,structure_event_code,structure_scale_code,side_code,symbol_code,ml_oof_probability,hour_x,fvg_size_atr,hour_y,hour
D,EURUSD_19892_SHORT_4192,EURUSD,SHORT,2025-08-07 13:00:00+00:00,2025-08-07 14:15:00+00:00,2025-08-07 17:00:00+00:00,19897,1.0,0.8782982726573897,3.0,90.0,11,overlap,bos,internal,none,5,1,-1.0,1,-1.551860649247853,10.020585906571297,-4.921615201900095,0.3990498812350497,0,-0.4999999999999997,-0.8660254037844388,0.0,2.0,0.0,0.0,1.0,0.0,0.6319816344909667,,0.2333333333332242,14,13
D,EURUSD_19892_SHORT_4192,EURUSD,SHORT,2025-08-07 13:00:00+00:00,2025-08-07 14:15:00+00:00,2025-08-07 18:00:00+00:00,19897,1.5,0.8782982726573897,3.0,90.0,15,overlap,bos,internal,none,5,1,-1.0,1,-1.551860649247853,10.020585906571297,-4.921615201900095,0.3990498812350497,0,-0.4999999999999997,-0.8660254037844388,0.0,2.0,0.0,0.0,1.0,0.0,0.6319816344909667,,0.2333333333332242,14,13
D,EURUSD_19892_SHORT_4192,EURUSD,SHORT,2025-08-07 13:00:00+00:00,2025-08-07 14:15:00+00:00,2025-08-07 18:15:00+00:00,19897,2.0,0.8782982726573897,1.1860649247822472,35.58194774346742,16,overlap,bos,internal,none,5,1,-1.0,1,-1.551860649247853,10.020585906571297,-4.921615201900095,0.3990498812350497,0,-0.4999999999999997,-0.8660254037844388,0.0,2.0,0.0,0.0,1.0,0.0,0.6319816344909667,,0.2333333333332242,14,13
D,EURUSD_19983_SHORT_4212,EURUSD,SHORT,2025-08-08 11:45:00+00:00,2025-08-08 13:15:00+00:00,2025-08-08 14:00:00+00:00,19989,1.0,0.8730241161224912,-1.0,-30.0,3,overlap,bos,internal,none,6,1,-0.5416666666669365,1,-8.101967799642534,2.9302325581396707,-3.7817531305905296,0.5635062611805027,0,-0.2588190451025208,-0.9659258262890684,0.0,2.0,0.0,0.0,1.0,0.0,0.6877273972229573,,0.6601178781925932,13,11
D,EURUSD_19983_SHORT_4212,EURUSD,SHORT,2025-08-08 11:45:00+00:00,2025-08-08 13:15:00+00:00,2025-08-08 14:15:00+00:00,19989,1.5,0.8730241161224912,-1.0,-30.0,4,overlap,bos,internal,none,6,1,-0.5416666666669365,1,-8.101967799642534,2.9302325581396707,-3.7817531305905296,0.5635062611805027,0,-0.2588190451025208,-0.9659258262890684,0.0,2.0,0.0,0.0,1.0,0.0,0.6877273972229573,,0.6601178781925932,13,11
D,EURUSD_19983_SHORT_4212,EURUSD,SHORT,2025-08-08 11:45:00+00:00,2025-08-08 13:15:00+00:00,2025-08-08 15:30:00+00:00,19989,2.0,0.8730241161224912,-1.0,-30.0,9,overlap,bos,internal,none,6,1,-0.5416666666669365,1,-8.101967799642534,2.9302325581396707,-3.7817531305905296,0.5635062611805027,0,-0.2588190451025208,-0.9659258262890684,0.0,2.0,0.0,0.0,1.0,0.0,0.6877273972229573,,0.6601178781925932,13,11
D,EURUSD_19984_SHORT_4213,EURUSD,SHORT,2025-08-08 12:00:00+00:00,2025-08-08 13:15:00+00:00,2025-08-08 14:00:00+00:00,19989,1.0,0.8719193070047356,-1.0,-30.0,3,overlap,bos,internal,none,5,1,-1.0,1,-8.101967799642534,2.9302325581396707,-3.7817531305905296,0.5635062611805027,0,-0.2588190451025208,-0.9659258262890684,0.0,2.0,0.0,0.0,1.0,0.0,0.6636181709257716,,0.0543161978662046,13,12
D,EURUSD_19984_SHORT_4213,EURUSD,SHORT,2025-08-08 12:00:00+00:00,2025-08-08 13:15:00+00:00,2025-08-08 14:15:00+00:00,19989,1.5,0.8719193070047356,-1.0,-30.0,4,overlap,bos,internal,none,5,1,-1.0,1,-8.101967799642534,2.9302325581396707,-3.7817531305905296,0.5635062611805027,0,-0.2588190451025208,-0.9659258262890684,0.0,2.0,0.0,0.0,1.0,0.0,0.6636181709257716,,0.0543161978662046,13,12
D,EURUSD_19984_SHORT_4213,EURUSD,SHORT,2025-08-08 12:00:00+00:00,2025-08-08 13:15:00+00:00,2025-08-08 15:30:00+00:00,19989,2.0,0.8719193070047356,-1.0,-30.0,9,overlap,bos,internal,none,5,1,-1.0,1,-8.101967799642534,2.9302325581396707,-3.7817531305905296,0.5635062611805027,0,-0.2588190451025208,-0.9659258262890684,0.0,2.0,0.0,0.0,1.0,0.0,0.6636181709257716,,0.0543161978662046,13,12
D,EURUSD_19993_LONG_4216,EURUSD,LONG,2025-08-08 14:15:00+00:00,2025-08-08 16:00:00+00:00,2025-08-08 20:00:00+00:00,20000,1.0,0.8795413295477869,0.9871794871794436,29.615384615383302,16,overlap,bos,internal,none,7,1,-0.559999999999929,1,-6.064102564102662,5.230769230769531,-1.4358974358975016,2.935897435897705,0,-0.8660254037844385,-0.5000000000000004,0.0,2.0,0.0,0.0,0.0,0.0,0.6110455838040082,,0.3211009174313156,16,14
